"time"	"Av"	"Aa"	"Ai"	"Aw"	"Rv"	"Rm"	"Rw"	"x"	"nv"	"yv"	"na"	"ya"	"ni"	"yi"
"324"	323	0.0246994427839639	89.907415148507	8.10758557211954	1.96029983658962	-8.61165907928136e-15	7.28222498782593	2.71777501217407	-3.73294377783921e-104	33069.2249119911	-2.35332703484218e-105	33069.2249123003	5.68172489988441	3306.9224911134	0.568172489968403
"325"	324	0.0246994631647927	89.9073548208891	8.10764587069844	1.96029984524786	-8.615247713317e-15	7.27494640273708	2.72505359726292	2.35111839615138e-104	33069.1977797613	1.48220828954377e-105	33069.1977800704	5.68172499376607	3306.91977789042	0.56817249935657
"326"	325	0.0246994835194907	89.9072945539788	8.10770610904618	1.9602998534557	-8.54151052309082e-15	7.26767509259544	2.73232490740456	1.36705507952851e-104	33069.1706748554	8.61822945254892e-106	33069.1706751645	5.68172508751918	3306.91706739983	0.568172508731879
"327"	326	0.0246995038483724	89.9072343476951	8.10776628722111	1.96029986123561	-8.37535429268876e-15	7.26041105012949	2.73958894987051	-4.02371646612722e-104	33069.1435972361	-2.53664907619005e-105	33069.1435975453	5.68172518114559	3306.9143596379	0.56817251809452
"328"	327	0.0246995241517372	89.9071742019579	8.10782640528162	1.9602998686089	-8.45318501252059e-15	7.25315426807513	2.74684573192487	8.10773278262763e-106	33069.1165468669	5.11164099464245e-107	33069.1165471761	5.68172527464708	3306.91165460098	0.56817252744467
"329"	328	0.0246995444298704	89.9071141166884	8.10788646328612	1.9602998755958	-8.76548517821134e-15	7.24590473917561	2.75409526082439	4.76433155848583e-104	33069.0895237115	3.00354762335493e-105	33069.0895240207	5.68172536802531	3306.90895228544	0.568172536782493
"330"	329	0.0246995646830439	89.9070540918085	8.10794646129303	1.96029988221554	-9.10903390465715e-15	7.23866245618144	2.76133754381856	-2.10977225203184e-104	33069.0625277343	-1.33005473443579e-105	33069.0625280435	5.68172546128192	3306.90625268772	0.568172546108153
"331"	330	0.0246995849115176	89.9069941272414	8.10800639936082	1.96029988848641	-9.13851117651601e-15	7.23142741185034	2.76857258814966	-4.64611458444102e-104	33069.0355588999	-2.92901751558573e-105	33069.0355592091	5.68172555441845	3306.90355580428	0.568172555421807
"332"	331	0.0246996051155389	89.9069342229109	8.10806627754796	1.96029989442577	-8.92899075538147e-15	7.22419959894726	2.77580040105274	4.49719883558522e-104	33069.0086171737	2.83514350420015e-105	33069.0086174829	5.68172564743634	3306.90086163166	0.568172564723596
"333"	332	0.0246996252953444	89.9068743787417	8.10812609591293	1.96029990005013	-9.01656520016521e-15	7.21697901024438	2.78302098975562	4.02807020657322e-104	33068.9817025212	2.53938453790691e-105	33068.9817028303	5.68172574033696	3306.89817016641	0.568172574013658
"334"	333	0.0246996454511595	89.9068145946596	8.10818585451422	1.96029990537518	-9.28182074606234e-15	7.20976563852111	2.79023436147889	-1.28351243865268e-104	33068.9548149083	-8.09153948320744e-106	33068.9548152175	5.68172583312172	3306.89548140513	0.568172583292134
"335"	334	0.0246996655831996	89.9067548705908	8.10824555341035	1.96029991041582	-9.64058726740101e-15	7.20255947656408	2.79744052343592	2.57178014897559e-105	33068.9279543017	1.62129570795655e-106	33068.9279546109	5.68172592579181	3306.89279534446	0.568172592559143
"336"	335	0.0246996856916703	89.9066952064624	8.1083051926598	1.96029991518622	-9.27609814449528e-15	7.19536051716713	2.80463948283287	1.67367858937395e-105	33068.9011206679	1.05513205318612e-106	33068.9011209771	5.68172601834848	3306.89011198108	0.56817260181481
"337"	336	0.0246997057767679	89.9066356022024	8.10836477232109	1.96029991969983	-8.9632813606222e-15	7.18816875313129	2.81183124686871	-8.51401542040948e-106	33068.874313974	-5.36743680854358e-107	33068.8743142832	5.68172611079286	3306.88743131169	0.568172611059248
"338"	337	0.0246997258386799	89.9065760577393	8.10842429245271	1.96029992396945	-9.29333268182647e-15	7.1809841772648	2.8190158227352	-5.37293710766081e-107	33068.8475341876	-3.38729892275085e-108	33068.8475344967	5.68172620312606	3306.88475333305	0.568172620292568
"339"	338	0.0246997458775855	89.9065165730022	8.10848375311317	1.96029992800723	-9.68414568132733e-15	7.1738067823831	2.8261932176169	1.18534496883184e-106	33068.8207812762	7.47270840014086e-108	33068.8207815854	5.68172629534914	3306.88207804191	0.568172629514875
"340"	339	0.0246997658936561	89.9064571479208	8.10854315436094	1.96029993182472	-9.58128131954217e-15	7.16663656130877	2.83336343869123	-2.77641511649699e-107	33068.794055208	-1.75030808477747e-108	33068.7940555172	5.68172638746309	3306.87940543509	0.568172638726271
"341"	340	0.0246997858870552	89.9063977824257	8.10860249625449	1.9602999354329	-9.22694751553374e-15	7.1594735068716	2.8405264931284	-9.80200139244985e-108	33068.7673559513	-6.17946996458042e-109	33068.7673562605	5.68172647946887	3306.87673550942	0.568172647926848
"342"	341	0.0246998058579394	89.9063384764477	8.1086617788523	1.96029993884219	-9.46333401159683e-15	7.15231761190853	2.84768238809147	6.50986478021897e-108	33068.7406834747	4.10396792955212e-109	33068.7406837838	5.68172657136739	3306.87406826176	0.568172657116701
"343"	342	0.0246998258064585	89.9062792299183	8.10872100221281	1.96029994206251	-1.00645586473913e-14	7.14516886926367	2.85483113073633	-3.43251947376627e-109	33068.7140377469	-2.16382245851886e-110	33068.7140380561	5.68172666315953	3306.87140368898	0.568172666295915
